track_id,track_name,artist_name,genre,popularity,duration_ms,explicit,danceability,energy,tempo,release_date
3n3Pp770487xV,HUMBLE.,Dua Lipa,Rap,97,230821,True,0.765,0.4,124.7,2025-01-10
3n3Pp216739xV,Umbrella,The Weeknd,Hip-Hop,72,271463,False,0.582,0.866,123.6,2016-05-12
3n3Pp126225xV,Sugar,Kendrick Lamar,Rap,53,219470,False,0.561,0.496,76.5,2019-06-23
3n3Pp877572xV,Blinding Lights,Dua Lipa,EDM,56,181434,False,0.923,0.533,120.0,2021-04-11
3n3Pp388389xV,One Dance,Justin Bieber,EDM,77,173703,true,0.74,0.847,166.6,2015-03-02
3n3Pp356787xV,Blinding Lights,Kendrick Lamar,Hip-Hop,64,191317,False,0.661,0.507,101.0,2015-01-22
3n3Pp334053xV,Bad Guy,Eminem,Indie,54,229748,False,0.709,0.62,120.6,2020-04-10
3n3Pp246316xV,Lose Yourself,Coldplay,R&B,71,160572,False,0.814,0.526,98.4,2022-05-20
3n3Pp872246xV,Shape of You,Billie Eilish,,88,206366,False,0.757,0.803,172.4,2016-07-06
3n3Pp207473xV,Dynamite,,R&B,99,235929,False,0.463,0.444,174.4,2019-08-12
3n3Pp809570xV,Sugar,Billie Eilish,Hip-Hop,89,unknown,True,0.59,0.672,170.9,2020-05-04
3n3Pp876646xV,Bléeding Love,Maroon 5,Rap,88,173910,True,0.532,0.81,169.3,2016-11-01
3n3Pp671858xV,Uptown Funk,Billie Eilish,Pop,75,215069,True,0.753,0.673,118.9,2025-09-25
3n3Pp191161xV,Tití Me Preguntó,BTS,Hip-Hop,99,243255,True,0.905,0.724,79.6,2017-06-12
3n3Pp719176xV,Circles,The Weeknd,Indie,70,253873,False,0.534,0.975,179.1,2020-12-25
3n3Pp542417xV,  SICKO MODE ,Beyoncé,Reggaeton,51,284600,False,0.422,0.773,152.0,2024-09-20
3n3Pp133326xV,Circles,Eminem,Reggaeton,90,162832,False,0.887,0.754,127.9,2020-04-21
3n3Pp131244xV,Tití Me Preguntó,Drake,EDM,67,228339,True,0.61,0.556,119.7,2019-04-19
3n3Pp198246xV,Anti-Hero,Travis Scott,Pop,100,218201,False,0.838,0.916,116.4,2021-02-04
3n3Pp329258xV,SICKO MODE,Bruno Mars,Hip-Hop,78,195578,True,0.462,0.658,160.0,2017-11-24
3n3Pp343962xV,Uptown Funk,Kendrick Lamar,EDM,81,158147,False,0.541,0.474,148.1,2024-02-02
3n3Pp629903xV,Sugar,BTS,R&B,64,256008,No,0.798,0.341,85.3,2024-11-27
3n3Pp731262xV,Umbrella,Travis Scott,K-Pop,72,268541,False,0.414,0.436,127.0,2018-04-23
3n3Pp127824xV,One Dance,Kendrick Lamar,Indie,85,295739,True,0.684,0.774,83.7,2022
3n3Pp688508xV,Tití Me Preguntó,Kendrick Lamar,Indie,74,294210,False,0.824,0.484,154.1,2023-10-11
3n3Pp308496xV,HUMBLE.,Rihanna,R&B,Not Available,215497,False,0.683,0.616,147.8,2019-12-16
3n3Pp850800xV,Sugar,The Weeknd,,61,174831,true,0.68,0.943,117.7,2018-09-24
3n3Pp781453xV,Dynamite,Drake,Reggaeton,93,271121,True,0.668,0.345,97.9,2017-01-05
3n3Pp835392xV,Blinding Lights,Post Malone,Rock,87,176714,Yes,0.563,0.749,112.6,2018-07-18
3n3Pp671412xV,Bléeding Love,Travis Scott,Reggaeton,92,186645,True,0.758,0.751,100.1,2019-09-12
3n3Pp539898xV,Say So,Ariana Grande,Hip-Hop,74,181838,True,0.576,0.921,179.9,2020-08-21
3n3Pp331148xV,SICKO MODE,Travis Scott,R&B,55,153134,True,0.445,0.545,76.7,2016-07-03
3n3Pp571029xV,Shape of You,Post Malone,Hip-Hop,99,166166,No,0.453,0.373,145.2,2022-07-17
3n3Pp717889xV,Circles,Doja Cat,EDM,89,208271,True,0.934,0.499,92.0,2023
3n3Pp391704xV,Uptown Funk,Coldplay,Rap,68,184266,True,0.825,0.901,123.2,2024-05-23
3n3Pp948749xV,Blinding Lights,Kendrick Lamar,Pop,65,201939,True,0.693,0.563,134.9,2017
3n3Pp106814xV,Sugar,BTS,Pop,-99,255010,True,0.745,0.966,136.3,2024-01-26
3n3Pp895667xV,Yellow,Beyoncé,EDM,54,247580,False,0.516,0.646,177.5,2018-12-27
3n3Pp944962xV,SICKO MODE,Coldplay,Hip-Hop,55,172030,False,,0.783,123.7,2021-08-22
3n3Pp267414xV,  Say So ,Bruno Mars,,67,217848,True,0.517,0.915,89.6,2023-09-03
3n3Pp832052xV,Uptown Funk,BTS,Reggaeton,59,169657,No,0.777,0.63,148.8,2017-08-25
3n3Pp543143xV,Stay,Dua Lipa,Indie,Not Available,155714,False,0.86,0.706,94.4,2023-07-18
3n3Pp456778xV,One Dance,Coldplay,Indie,95,166900,True,0.513,0.36,166.5,2021-07-20
3n3Pp391369xV,Bléeding Love,Rihanna,EDM,100,201839,False,0.856,0.435,140.8,2019-04-06
3n3Pp263032xV,Yellow,Billie Eilish,Indie,90,266242,True,0.883,0.957,148.9,2015-03-19
3n3Pp325772xV,One Dance,Post Malone,R&B,59,183761,False,0.808,0.681,75.1,00-00-0000
3n3Pp900581xV,Bléeding Love,Billie Eilish,K-Pop,97,174111,True,0.639,0.784,140.9,2015-09-15
